DF60,DS Input (Card),"Contains Terminal provided data if permanent data storage in the Card was applicable (DS Slot Management Control[8]=1b), remains applicable, or becomes applicable (DS ODS Info[8]=1b). Otherwise this data item is a filler to be supplied by the Kernel. The data is forwarded to the Card with the GENERATE AC command, as per DSDOL formatting."
DF60,DDA Component P,
DF61,DDA Component Q,
DF61,DS Digest H,"Contains the result of OWHF2(DS Input (Term)) or OWHF2AES(DS Input (Term)), if DS Input (Term) is provided by the Terminal. This data object is to be supplied to the Card with the GENERATE AC command, as per DSDOL formatting."
DF62,DS ODS Info,"Contains Terminal provided data to be forwarded to the Card with the GENERATE AC command, as per DSDOL formatting."
DF62,DDA Component D1,
DF63,DDA Component D2,
DF63,DS ODS Term,"Contains Terminal provided data to be forwarded to the Card with the GENERATE AC command, as per DSDOL formatting."
DF64,DDA Component Q Minus 1 Mod P,
DF65,DDA Private Exponent,
DF6B,Paypass Contactless,
DF79,Dynamic Data Authentication Keys,
DF8101,DS Summary 2,"This data allows the Kernel to check the consistency between DS Summary 1 and DS Summary 2, and so to ensure that DS ODS Card is provided by a genuine Card. It is located in the ICC Dynamic Data recovered from the Signed Dynamic Application Data."
DF8102,DS Summary 3,This data allows the Kernel to check whether the Card has seen the same transaction data as were sent by the Terminal/Kernel. It is located in the ICC Dynamic Data recovered from the Signed Dynamic Application Data.
DF8104,Balance Read Before Gen AC,The presence of Balance Read Before Gen AC in the TLV Database is an indication to the Kernel to read the offline balance from the Card before the GENERATE AC command. The Kernel stores the offline balance read from the Card in Balance Read Before Gen AC.
DF8105,Balance Read After Gen AC,The presence of Balance Read After Gen AC in the TLV Database is an indication to the Kernel to read the offline balance from the Card after the GENERATE AC command. The Kernel stores the offline balance read from the Card in Balance Read After Gen AC.
DF8106,Data Needed,List of tags included in the DEK signal to request information from the Terminal.
DF8107,CDOL1 Related Data,"Command data field of the GENERATE AC command, coded according to CDOL1."
DF8108,DS AC Type,Contains the AC type indicated by the Terminal for which IDS data must be stored in the Card.
DF8109,DS Input (Term),"Contains Terminal provided data if permanent data storage in the Card was applicable (DS Slot Management Control[8]=1b), remains applicable or becomes applicable (DS ODS Info[8]=1b). DS Input (Term) is used by the Kernel as input to calculate DS Digest H."
DF810A,DS ODS Info For Reader,Contains instructions from the Terminal on how to proceed with the transaction if:
,,- The AC requested by the Terminal does not match the AC proposed by the Kernel
,,- The update of the slot data has failed
DF810B,DS Summary Status,Information reported by the Kernel to the Terminal about:
,,- The consistency between DS Summary 1 and DS Summary 2 (successful read)
,,- The difference between DS Summary 2 and DS Summary 3 (successful write)
,,This data object is part of the Discretionary Data.
DF810C,Kernel ID,Contains a value that uniquely identifies each Kernel. There is one occurrence of this data object for each Kernel in the Reader.
DF810D,DSVN Term,"Integrated data storage support by the Kernel depends on the presence of this data object. If it is absent, or is present with a length of zero, integrated data storage is not supported. Its value is '02' for this version of data storage functionality. This variable length data item has an initial byte that defines the maximum version number supported by the Terminal and a variable number of subsequent bytes that define how the Terminal supports earlier versions of the specification. As this is the first version, no legacy support is described and no additional bytes are present."
DF810E,Post-Gen AC Put Data Status,"Information reported by the Kernel to the Terminal, about the processing of PUT DATA commands after processing the GENERATE AC command. Possible values are 'completed' or 'not completed'. In the latter case, this status is not specific about which of the PUT DATA commands failed, or about how many of these commands have failed or succeeded. This data object is part of the Discretionary Data provided by the Kernel to the Terminal."
DF810F,Pre-Gen AC Put Data Status,"Information reported by the Kernel to the Terminal, about the processing of PUT DATA commands before sending the GENERATE AC command. Possible values are 'completed' or 'not completed'. In the latter case, this status is not specific about which of the PUT DATA commands failed, or about how many of these commands have failed or succeeded. This data object is part of the Discretionary Data provided by the Kernel to the Terminal."
DF8110,Proceed To First Write Flag,Indicates that the Terminal will send no more requests to read data other than as indicated in Tags To Read. This data item indicates the point at which the Kernel shifts from the Card reading phase to the Card writing phase.
,,"If Proceed To First Write Flag is not present or is present with non zero length and value different from zero, then the Kernel proceeds without waiting."
,,"If Proceed To First Write Flag is present with zero length, then the Kernel sends a DEK signal to the Terminal and waits for the DET signal."
,,"If Proceed To First Write Flag is present with non zero length and value equal to zero, then the Kernel waits for a DET signal from the Terminal without sending a DEK signal."
DF8111,PDOL Related Data,"Command data field of the GET PROCESSING OPTIONS command, coded according to PDOL."
DF8112,Tags To Read,"List of tags indicating the data the Terminal has requested to be read. This data item is present if the Terminal wants any data back from the Card before the Data Record. This could be in the context of SDS, or for non data storage usage reasons, for example the PAN. This data item may contain configured data."
,,"This data object may be provided several times by the Terminal. Therefore, the values of each of these tags must be accumulated in the Tags To Read Yet buffer."
DF8113,DRDOL Related Data,"Command data field of the RECOVER AC command, coded according to DRDOL."
DF8114,Reference Control Parameter,Working variable to store the reference control parameter of the GENERATE AC command.
DF8115,Error Indication,Contains information regarding the nature of the error that has been encountered during the transaction processing. This data object is part of the Discretionary Data.
DF8116,User Interface Request Data,Combines all parameters to be sent with the MSG signal.
DF8117,Card Data Input Capability,Indicates the card data input capability of the Terminal and Reader. The Card Data Input Capability is coded according to Annex A.2 of [EMV Book 4].
DF8118,CVM Capability - CVM Required,Indicates the CVM capability of the Terminal and Reader when the transaction amount is greater than the Reader CVM Required Limit. The CVM Capability - CVM Required is coded according to Annex A.2 of [EMV Book 4].
DF8119,CVM Capability - No CVM Required,Indicates the CVM capability of the Terminal and Reader when the transaction amount is less than or equal to the Reader CVM Required Limit. The CVM Capability - No CVM Required is coded according to Annex A.2 of [EMV Book 4].
DF811A,Default UDOL,The Default UDOL is the UDOL to be used for constructing the value field of the COMPUTE CRYPTOGRAPHIC CHECKSUM command if the UDOL in the Card is not present. The Default UDOL must contain as its only entry the tag and length of the Unpredictable Number (Numeric) and has the value: '9F6A04'.
DF811B,Kernel Configuration,Indicates the Kernel configuration options.
DF811C,Max Lifetime of Torn Transaction Log Record,"Maximum time, in seconds, that a record can remain in the Torn Transaction Log."
DF811D,Max Number of Torn Transaction Log Records,Indicates the maximum number of records that can be stored in the Torn Transaction Log.
DF811E,Mag-stripe CVM Capability - CVM Required,"Indicates the CVM capability of the Terminal/Reader in the case of a mag-stripe mode transaction when the Amount, Authorized (Numeric) is greater than the Reader CVM Required Limit."
DF811F,Security Capability,Indicates the security capability of the Kernel. The Security Capability is coded according to Annex A.2 of [EMV Book 4].
DF8120,Terminal Action Code - Default,Specifies the acquirer's conditions that cause a transaction to be rejected on an offline only Terminal.
DF8121,Terminal Action Code - Denial,Specifies the acquirer's conditions that cause the denial of a transaction without attempting to go online.
DF8122,Terminal Action Code - Online,Specifies the acquirer's conditions that cause a transaction to be transmitted online on an online capable Terminal.
DF8123,Reader Contactless Floor Limit,Indicates the transaction amount above which transactions must be authorized online.
DF8124,Reader Contactless Transaction Limit (No On-device CVM),"Indicates the transaction amount above which the transaction is not allowed, when on device cardholder verification is not supported."
DF8125,Reader Contactless Transaction Limit (On-device CVM),"Indicates the transaction amount above which the transaction is not allowed, when on device cardholder verification is supported."
DF8126,Reader CVM Required Limit,Indicates the transaction amount above which the Kernel instantiates the CVM capabilities field in Terminal Capabilities with CVM Capability - CVM Required.
DF8127,Time Out Value,Defines the time in ms before the timer generates a TIMEOUT signal.
DF8128,IDS Status,Indicates if the transaction performs an IDS read and/or write.
DF8129,Outcome Parameter Set,This data object is used to indicate to the Terminal the outcome of the transaction processing by the Kernel. Its value is an accumulation of results about applicable parts of the transaction.
DF812A,DD Card (Track1),"If Track 1 Data is present, then DD Card (Track1) contains a copy of the discretionary data field of Track 1 Data as returned by the Card in the file read using the READ RECORD command during a mag-stripe mode transaction (i.e. without Unpredictable Number (Numeric), Application Transaction Counter, CVC3 (Track1) and nUN included)."
DF812B,DD Card (Track2),"DD Card (Track2) contains a copy of the discretionary data field of Track 2 Data as returned by the Card in the file read using the READ RECORD command during a mag-stripe mode transaction (i.e. without Unpredictable Number (Numeric), Application Transaction Counter, CVC3 (Track2) and nUN included)."
DF812C,Mag-stripe CVM Capability - No CVM Required,"Indicates the CVM capability of the Terminal/Reader in the case of a mag-stripe mode transaction when the Amount, Authorized (Numeric) is less than or equal to the Reader CVM Required Limit."
DF812D,Message Hold Time,Indicates the default delay for the processing of the next MSG signal. The Message Hold Time is an integer in units of 100ms.
DF8130,Hold Time Value,Indicates the time that the field is to be turned off after the transaction is completed if requested to do so by the cardholder device. The Hold Time Value is in units of 100ms.
DF8131,Phone Message Table,"The Phone Message Table is a variable length list of entries of eight bytes each, and defines for the selected AID the message and status identifiers as a function of the POS Cardholder Interaction Information. Each entry in the Phone Message Table contains the fields shown in the table below."
,,Note that the last entry in the Phone Message Table must always have PCII Mask and PCII Value set to '000000'.
FF60,Visa International,
FF62,Visa Magnetic Stripe,
FF63,Visa Quick VSDC,
FF8101,Torn Record,A copy of a record from the Torn Transaction Log that is expired. Torn Record is sent to the Terminal as part of the Discretionary Data.
FF8102,Tags To Write Before Gen AC,"List of data objects indicating the Terminal data writing requests to be sent to the Card before processing the GENERATE AC command or the RECOVER AC command. This data object may be provided several times by the Terminal in a DET signal. Therefore, these values must be accumulated in Tags To Write Yet Before Gen AC buffer."
FF8103,Tags To Write After Gen AC,"Contains the Terminal data writing requests to be sent to the Card after processing the GENERATE AC command or the RECOVER AC command. The value of this data object is composed of a series of TLVs. This data object may be provided several times by the Terminal in a DET signal. Therefore, these values must be accumulated in Tags To Write Yet After Gen AC."
FF8104,Data To Send,"List of data objects that contains the accumulated data sent by the Kernel to the Terminal in a DEK signal. These data may correspond to Terminal reading requests, obtained from the Card by means of GET DATA or READ RECORD commands, or may correspond to data that the Kernel posts to the Terminal as part of its own processing."
FF8105,Data Record,The Data Record is a list of TLV encoded data objects returned with the Outcome Parameter Set on the completion of transaction processing.
FF8106,Discretionary Data,The Discretionary Data is a list of Kernel-specific data objects sent to the Terminal as a separate field in the OUT signal.
